ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,20640.522076232446,4.527010461933443
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,117475.37954952224,25.765446739967445
5,natural_gas_fired_combined_cycle,2,36734.21000000001,36734.21,7.275957614183426e-12,39.25308015344668,110815.42987689323,24.304744257123804
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,51.49997032094188,0.01129530074729202
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43975.2,9.644920304358568
9,onshore_wind_turbine,2,6979.000000000001,6979.0,9.094947017729282e-13,7.457551050938741,18093.013532300003,3.968274699938025
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,874.2342496499999,0.19174261095378672
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,4994.243611195953,1.0953692447228645
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,22432.464484662654,4.920030657846362
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,12.0796,0.0026493746318045114
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,24752.06586901,5.428780373365789
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,274.09438985,0.06011612331439171
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,1162.912412215908,0.0,1162.912412215908,1.2426534864408152,3026.264618506005,0.663739586525826
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,0.0,0.0,0.0,0.0,0.0,0.0
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,5988.866069999989,0.0,5988.866069999989,6.399523492514654,52462.46677319994,11.506401585383873
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,13472.942632877337,0.0,13472.942632877337,14.396784280133504,36012.10321144754,7.898403315203723
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0
40,battery,2,0.0,0.0,0.0,0.0,0.0,0.0
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
56,Hydrogen,1,0.0,0.0,0.0,0.0,0.0,0.0
57,Hydrogen,2,0.0,0.0,0.0,0.0,0.0,0.0
58,Hydrogen,3,0.0,0.0,0.0,0.0,0.0,0.0
